,type,title,district,price,area,bedroom,bathroom,incense,link
81,Nhà riêng,Bán nhà riêng Quận Tân Phú - hẻm xe tải thông thoáng.,Q.Tân Phú,"8,3 tỷ","52,5m²",6,6,Đông,https://propzy.vn/mua/ban-nha-rieng-quan-tan-phu-hem-xe-tai-thong-thoang-id100181?src=location_xl_listing
82,Nhà riêng,"Bán nhà mặt tiền đường khu Tên Lửa, View công viên, nội thất sang trọng",Q.Bình Tân,"13,5 tỷ","90,0m²",4,5,Bắc,https://propzy.vn/mua/ban-nha-mat-tien-duong-khu-ten-lua-view-cong-vien-noi-that-sang-trong-id100244?src=location_xl_listing
83,Nhà riêng,"Nhà bán Quận Gò Vấp, - Nhà xây kiên cố - khu dân cư an ninh yên tĩnh,",Q.Gò Vấp,"6,3 tỷ","59,1m²",4,5,Đ.Bắc,https://propzy.vn/mua/nha-ban-quan-go-vap-nha-xay-kien-co-khu-dan-cu-an-ninh-yen-tinh-id100217?src=location_xl_listing
84,Nhà riêng,"Bán nhà 2 mặt tiền Quận Tân Phú - Khu dân cư an ninh, yên tĩnh.",Q.Tân Phú,"2,4 tỷ","13,6m²",2,1,Đ.Bắc,https://propzy.vn/mua/ban-nha-2-mat-tien-quan-tan-phu-khu-dan-cu-an-ninh-yen-tinh-id99923?src=location_xl_listing
85,Nhà riêng,"Nhà hẻm xe ô tô, yên tĩnh, hướng Đông Nam",Q.Tân Bình,7 tỷ,"67,9m²",3,2,Đ.Nam,https://propzy.vn/mua/nha-hem-xe-o-to-yen-tinh-huong-dong-nam-id99794?src=location_xl_listing
86,Nhà riêng,Bán nhà hẻm xe ba gác - Quận Tân Phú xây dựng chắc chắn kiên cố.,Q.Tân Phú,"2,85 tỷ","25,4m²",2,1,Đ.Bắc,https://propzy.vn/mua/ban-nha-hem-xe-ba-gac-quan-tan-phu-xay-dung-chac-chan-kien-co-id99326?src=location_xl_listing
87,Nhà riêng,"Bán nhà hẻm quận 4 - Nhà mới xây, dân cư hiện hữu",Q.4,"2,7 tỷ","22,8m²",4,4,Đ.Bắc,https://propzy.vn/mua/ban-nha-hem-quan-4-nha-moi-xay-dan-cu-hien-huu-id99146?src=location_xl_listing
88,Nhà riêng,"Bán nhà phường An Phú, quận 2. Căn góc 2 mặt đường rộng. Phù hợp kinh doanh, đầu tư sinh lời.",Q.2,"17,5 tỷ","124,0m²",4,1,Đ.Bắc,https://propzy.vn/mua/ban-nha-phuong-an-phu-quan-2-can-goc-2-mat-duong-rong-phu-hop-kinh-doanh-dau-tu-sinh-loi-id98117?src=location_xl_listing
89,Nhà riêng,Nhà hẻm xe hơi quận 1 thuận tiện kinh doanh,Q.1,8 tỷ,"32,0m²",6,4,Đ.Nam,https://propzy.vn/mua/nha-hem-xe-hoi-quan-1-thuan-tien-kinh-doanh-id98036?src=location_xl_listing
90,Nhà riêng,"Bán nhà mặt tiền Quận Tân Phú - Khu dân cư an ninh, yên tĩnh.",Q.Tân Phú,16 tỷ,"129,0m²",3,1,Nam,https://propzy.vn/mua/ban-nha-mat-tien-quan-tan-phu-khu-dan-cu-an-ninh-yen-tinh-id97547?src=location_xl_listing
91,Nhà riêng,BÁN NHÀ QUẬN 10 ĐÚC THẬT KIÊN CỐ - GẦN HÀ ĐÔ CENTROSA,Q.10,7 tỷ,"30,0m²",4,4,Đ.Bắc,https://propzy.vn/mua/ban-nha-quan-10-duc-that-kien-co-gan-ha-do-centrosa-id97448?src=location_xl_listing
92,Nhà riêng,Bán nhà Quận Gò Vấp - Mặt tiền đường đông đúc - Đối diện trường học,Q.Gò Vấp,"5,9 tỷ","63,3m²",3,3,T.Bắc,https://propzy.vn/mua/ban-nha-quan-go-vap-mat-tien-duong-dong-duc-doi-dien-truong-hoc-id97427?src=location_xl_listing
93,Nhà riêng,Nhà  đẹp hẻm xe ba gác phường 14 Quận 8 - Gần chợ Bình Đông,Q.8,"4,5 tỷ","50,8m²",4,3,T.Bắc,https://propzy.vn/mua/nha-dep-hem-xe-ba-gac-phuong-14-quan-8-gan-cho-binh-dong-id97430?src=location_xl_listing
94,Nhà riêng,"Bán nhà Quận 4 - Khu dân cư an ninh, sầm uất",Q.4,"8,65 tỷ","39,5m²",5,3,Đông,https://propzy.vn/mua/ban-nha-quan-4-khu-dan-cu-an-ninh-sam-uat-id97358?src=location_xl_listing
95,Nhà riêng,"Bán nhà cấp 4, mặt tiền đường 12m, phường Phước Long B - Quận 9.",Q.9,"11,6 tỷ","144,8m²",3,1,Nam,https://propzy.vn/mua/ban-nha-cap-4-mat-tien-duong-12m-phuong-phuoc-long-b-quan-9-id95930?src=location_xl_listing
96,Nhà riêng,"Bán nhà Quận Tân Phú - Khu dân cư an ninh, yên tĩnh.",Q.Tân Phú,"2,4 tỷ","35,3m²",2,2,T.Nam,https://propzy.vn/mua/ban-nha-quan-tan-phu-khu-dan-cu-an-ninh-yen-tinh-id95402?src=location_xl_listing
97,Nhà riêng,Bán nhà nát diện tích rộng có giấy phép xây dựng mới tại Quận 6,Q.6,"4,5 tỷ","66,8m²",0,0,T.Bắc,https://propzy.vn/mua/ban-nha-nat-dien-tich-rong-co-giay-phep-xay-dung-moi-tai-quan-6-id95654?src=location_xl_listing
98,Nhà riêng,"Bán dãy trọ 6 phòng 111.3m2 thu nhập 10tr/tháng, phường Phú Hữu - Quận 9.",Q.9,"4,4 tỷ","111,3m²",6,6,T.Nam,https://propzy.vn/mua/ban-day-tro-6-phong-111-3m2-thu-nhap-10tr-thang-phuong-phu-huu-quan-9-id95318?src=location_xl_listing
99,Nhà riêng,Bán nhà thiết kế đẹp - HXH  tại Quận 6 giáp Quận 5,Q.6,"3,62 tỷ","37,9m²",2,2,T.Bắc,https://propzy.vn/mua/ban-nha-thiet-ke-dep-hxh-tai-quan-6-giap-quan-5-id95423?src=location_xl_listing
100,Nhà riêng,Bán nhà riêng và đất trống huyện Hóc Môn- Mặt tiền đường rộng 15m,H.Hóc Môn,"15,5 tỷ","387,2m²",0,3,Đ.Nam,https://propzy.vn/mua/ban-nha-rieng-va-dat-trong-huyen-hoc-mon-mat-tien-duong-rong-15m-id95195?src=location_xl_listing
101,Nhà riêng,Bán nhà Hẻm Xe Hơi 5.5m Ngay trung Tâm Thị Trấn Huyện Nhà Bè-Hẻm thông-Gần Ngân Hàng-Sổ Hồng chính chủ,H.Nhà Bè,"5,45 tỷ","99,5m²",4,4,Đ.Nam,https://propzy.vn/mua/ban-nha-hem-xe-hoi-5-5m-ngay-trung-tam-thi-tran-huyen-nha-be-hem-thong-gan-ngan-hang-so-hong-chinh-chu-id95162?src=location_xl_listing
102,Nhà riêng,Bán nhà Hẻm Xe Hơi 6m Ngay trung Tâm Thị Trấn Huyện Nhà Bè-Hẻm thông-Gần Ngân Hàng-Sổ Hồng chính chủ,H.Nhà Bè,"5,85 tỷ","129,4m²",4,5,Đ.Nam,https://propzy.vn/mua/ban-nha-hem-xe-hoi-6m-ngay-trung-tam-thi-tran-huyen-nha-be-hem-thong-gan-ngan-hang-so-hong-chinh-chu-id95159?src=location_xl_listing
103,Nhà riêng,"Bán nhà Hẻm Xe Hơi 6m Đường Huỳnh Tấn phát Huyện Nhà Bè nhà rộng thông thoáng,Gần Khu Dân Cư Sài Gòn Mới",H.Nhà Bè,"4,5 tỷ","56,7m²",4,3,Đ.Bắc,https://propzy.vn/mua/ban-nha-hem-xe-hoi-6m-duong-huynh-tan-phat-huyen-nha-be-nha-rong-thong-thoang-gan-khu-dan-cu-sai-gon-moi-id95017?src=location_xl_listing
104,Nhà riêng,Bán nhà Quận Tân Phú - Khu dân cư an ninh.,Q.Tân Phú,"4,2 tỷ","31,0m²",2,4,T.Bắc,https://propzy.vn/mua/ban-nha-quan-tan-phu-khu-dan-cu-an-ninh-id94759?src=location_xl_listing
105,Nhà riêng,"Bán nhà mặt tiền đường nội bộ P. Bình Hưng Hòa A, quận Bình Tân - Gần Lô Tư, Mã Lò",Q.Bình Tân,"3,3 tỷ","50,9m²",1,1,Đ.Nam,https://propzy.vn/mua/ban-nha-mat-tien-duong-noi-bo-p-binh-hung-hoa-a-quan-binh-tan-gan-lo-tu-ma-lo-id94867?src=location_xl_listing
106,Nhà riêng,Bán nhà riêng huyện Hóc Môn- Mặt tiền đường nội bộ rộng 7m có vỉa hè,H.Hóc Môn,"3,81 tỷ","80,3m²",4,3,T.Nam,https://propzy.vn/mua/ban-nha-rieng-huyen-hoc-mon-mat-tien-duong-noi-bo-rong-7m-co-via-he-id94642?src=location_xl_listing
107,Nhà riêng,"Bán nhà Quận Tân Phú - khu dân cư an ninh, yên tĩnh.",Q.Tân Phú,"5,2 tỷ","68,0m²",2,2,T.Bắc,https://propzy.vn/mua/ban-nha-quan-tan-phu-khu-dan-cu-an-ninh-yen-tinh-id94438?src=location_xl_listing
108,Chung cư/ Căn hộ,"Bán căn hộ chung cư 2 phòng ngủ, tầng cao Tòa nhà Vạn Đô quận 4",Q.4,"3,4 tỷ","77,5m²",2,2,--,https://propzy.vn/mua/ban-can-ho-chung-cu-2-phong-ngu-tang-cao-toa-nha-van-do-quan-4-id109886?src=location_xl_listing
109,Chung cư/ Căn hộ,"Bán căn hộ kiểu office tầng thấp Galaxy 9 - Thích hợp thuê làm văn phòng, phòng trưng bày, văn phòng đại diện",Q.4,"1,9 tỷ","24,4m²",1,0,--,https://propzy.vn/mua/ban-can-ho-kieu-office-tang-thap-galaxy-9-thich-hop-thue-lam-van-phong-phong-trung-bay-van-phong-dai-dien-id109844?src=location_xl_listing
110,Chung cư/ Căn hộ,"Chính chủ bán căn hộ TDH Riverview phường Bình Chiểu, Quận Thủ Đức",Q.Thủ Đức,"1,5 tỷ","62,4m²",2,2,Đ.Nam,https://propzy.vn/mua/chinh-chu-ban-can-ho-tdh-riverview-phuong-binh-chieu-quan-thu-duc-id108497?src=location_xl_listing
111,Chung cư/ Căn hộ,Bán Căn Hộ Chung Cư Kiến Thành - Quận 6,Q.6,"2,05 tỷ","74,7m²",2,2,Nam,https://propzy.vn/mua/ban-can-ho-chung-cu-kien-thanh-quan-6-id108377?src=location_xl_listing
112,Chung cư/ Căn hộ,Bán căn hộ chung cư 830 Sư Vạn Hạnh - Sổ hồng chính chủ,Q.10,"3,35 tỷ","57,4m²",3,1,--,https://propzy.vn/mua/ban-can-ho-chung-cu-830-su-van-hanh-so-hong-chinh-chu-id106445?src=location_xl_listing
113,Chung cư/ Căn hộ,"Bán căn hộ 1+1 phòng ngủ, chung cư Vinhomes Grank Park - Quận 9.",Q.9,"1,6 tỷ","48,0m²",1,1,T.Bắc,https://propzy.vn/mua/ban-can-ho-1-1-phong-ngu-chung-cu-vinhomes-grank-park-quan-9-id102653?src=location_xl_listing
114,Chung cư/ Căn hộ,Bán căn hộ Celadon City Quận Tân Phú.,Q.Tân Phú,"3,568 tỷ","96,0m²",3,2,Đ.Nam,https://propzy.vn/mua/ban-can-ho-celadon-city-quan-tan-phu-id101831?src=location_xl_listing
115,Chung cư/ Căn hộ,Bán căn hộ chung cư 2 phòng ngủ tầng cao Tòa nhà Vạn Đô quận 4,Q.4,"2,4 tỷ","59,3m²",2,1,--,https://propzy.vn/mua/ban-can-ho-chung-cu-2-phong-ngu-tang-cao-toa-nha-van-do-quan-4-id99506?src=location_xl_listing
116,Chung cư/ Căn hộ,Bán Chung Cư  Căn Hộ Bình Phú - Quận 6,Q.6,"1,45 tỷ","45,3m²",2,1,T.Nam,https://propzy.vn/mua/ban-chung-cu-can-ho-binh-phu-quan-6-id83188?src=location_xl_listing
117,Chung cư/ Căn hộ,"Bán căn hộ 2 phòng ngủ, chung cử Safira Khang Điền - Quận 9",Q.9,"2,5 tỷ","63,0m²",2,2,Đ.Bắc,https://propzy.vn/mua/ban-can-ho-2-phong-ngu-chung-cu-safira-khang-dien-quan-9-id112724
118,Chung cư/ Căn hộ,"Căn hộ chung cư thiết kế cổ điển tại TRUNG TÂM QUẬN 1, sổ hồng riêng chính chủ|!",Q.1,"2,1 tỷ","24,1m²",0,1,T.Bắc,https://propzy.vn/mua/can-ho-chung-cu-thiet-ke-co-dien-tai-trung-tam-quan-1-so-hong-rieng-chinh-chu-id112676
119,Chung cư/ Căn hộ,Căn hộ tầng 12A chung cư City Gate mặt tiền Võ Văn Kiệt phường 16 Quận 8. Mua vào ở ngay.,Q.8,"2,3 tỷ","71,9m²",2,2,--,https://propzy.vn/mua/can-ho-tang-12a-chung-cu-city-gate-mat-tien-vo-van-kiet-phuong-16-quan-8-mua-vao-o-ngay-id112652
120,Chung cư/ Căn hộ,"BÁN CĂN HỘ QUẬN 7 - Cần bán căn hộ Janoma Heights. Khu dân cư tri thức, an ninh, yên tĩnh, nhiều không gian cây xanh. ",Q.7,"3,2 tỷ","91,0m²",3,2,--,https://propzy.vn/mua/ban-can-ho-quan-7-can-ban-can-ho-janoma-heights-khu-dan-cu-tri-thuc-an-ninh-yen-tinh-nhieu-khong-gian-cay-xanh-id112493
121,Chung cư/ Căn hộ,"Cần bán căn hộ 3 phòng ngủ, Chung cư the Eastern - quận 9",Q.9,"2,72 tỷ","101,2m²",3,2,Đông,https://propzy.vn/mua/can-ban-can-ho-3-phong-ngu-chung-cu-the-eastern-quan-9-id112085
122,Chung cư/ Căn hộ,Bán căn hộ chung cư Thái An Quận 12 - Diện tích 70.7m2.,Q.12,"1,55 tỷ","70,7m²",2,2,--,https://propzy.vn/mua/ban-can-ho-chung-cu-thai-an-quan-12-dien-tich-70-7m2-id112439
123,Chung cư/ Căn hộ,"Cần bán gấp căn hồ  Riverside, Quận Bình Thạnh",Q.Bình Thạnh,"2,35 tỷ","45,0m²",1,1,--,https://propzy.vn/mua/can-ban-gap-can-ho-riverside-quan-binh-thanh-id112241
124,Chung cư/ Căn hộ,"Bán căn hộ Cao ốc Fortuna Kim Hồng Quận Tân Phú tầng thấp, thiết kế đẹp",Q.Tân Phú,"2,1 tỷ","74,5m²",2,2,--,https://propzy.vn/mua/ban-can-ho-cao-oc-fortuna-kim-hong-quan-tan-phu-tang-thap-thiet-ke-dep-id112268
125,Chung cư/ Căn hộ,"Bán căn hộ Vinhomes Golden River (Vinhomes Bason), view dọc sông Sài Gòn và Bitexco đẹp nhất dự án, tầng cao thông thoáng!",Q.1,"13,8 tỷ","73,3m²",2,2,Đ.Bắc,https://propzy.vn/mua/ban-can-ho-vinhomes-golden-river-vinhomes-bason-view-doc-song-sai-gon-va-bitexco-dep-nhat-du-an-tang-cao-thong-thoang-id112076
126,Chung cư/ Căn hộ,"Bán căn hộ 2PN, chung cư Ngọc Đông Dương, P. Bình Hưng Hòa A, Bình Tân - Giao lại full nội thất",Q.Bình Tân,"1,9 tỷ","64,0m²",2,2,Đ.Nam,https://propzy.vn/mua/ban-can-ho-2pn-chung-cu-ngoc-dong-duong-p-binh-hung-hoa-a-binh-tan-giao-lai-full-noi-that-id111887
127,Chung cư/ Căn hộ,Bán Căn Hộ Chung Cư The Park Residence Phước Kiển Đường Nguyễn Hữu Thọ Huyện Nhà Bè-Thuạn tiện di chuyển qua Quận 7,H.Nhà Bè,"1,7 tỷ","52,0m²",2,1,--,https://propzy.vn/mua/ban-can-ho-chung-cu-the-park-residence-phuoc-kien-duong-nguyen-huu-tho-huyen-nha-be-thuan-tien-di-chuyen-qua-quan-7-id111827
128,Chung cư/ Căn hộ,Bán căn hộ chung cư Võ Đình Quận 12 - Diện tích 54.28m2,Q.12,"1,47 tỷ","54,3m²",2,2,--,https://propzy.vn/mua/ban-can-ho-chung-cu-vo-dinh-quan-12-dien-tich-54-28m2-id111725
129,Chung cư/ Căn hộ,Bán căn hộ chung cư An Sương Quận 12 - Diện tích 82.1m2,Q.12,"1,8 tỷ","82,1m²",2,2,--,https://propzy.vn/mua/ban-can-ho-chung-cu-an-suong-quan-12-dien-tich-82-1m2-id111452
130,Chung cư/ Căn hộ,"BÁN CĂN HỘ HUYỆN NHÀ BÈ-Căn Hộ Orchid Park-Khu dân cư tri thức, an ninh, yên tĩnh-Tầng 12 thoáng mát",H.Nhà Bè,"1,6 tỷ","75,0m²",2,2,--,https://propzy.vn/mua/ban-can-ho-huyen-nha-be-can-ho-orchid-park-khu-dan-cu-tri-thuc-an-ninh-yen-tinh-tang-12-thoang-mat-id111416
131,Chung cư/ Căn hộ,Bán Căn Hộ Chung Cư Sunrise Riverside Phước Kiển Đường Nguyễn Hữu Thọ Huyện Nhà Bè ,H.Nhà Bè,"3,5 tỷ","70,0m²",2,2,--,https://propzy.vn/mua/ban-can-ho-chung-cu-sunrise-riverside-phuoc-kien-duong-nguyen-huu-tho-huyen-nha-be-id111278
132,Chung cư/ Căn hộ,"Bán căn Penthouse thuộc chung cư 4S Linh Đông, Quận Thủ Đức",Q.Thủ Đức,5 tỷ,"136,3m²",3,2,Đ.Nam,https://propzy.vn/mua/ban-can-penthouse-thuoc-chung-cu-4s-linh-dong-quan-thu-duc-id111191
133,Chung cư/ Căn hộ,.,Q.2,"4,6 tỷ","82,4m²",2,2,--,https://propzy.vn/mua/-id111095
134,Chung cư/ Căn hộ,Bán căn hộ 3 phòng ngủ tầng trung The gold view quận 4,Q.4,"6,2 tỷ","105,9m²",3,2,Đ.Nam,https://propzy.vn/mua/ban-can-ho-3-phong-ngu-tang-trung-the-gold-view-quan-4-id111050
135,Chung cư/ Căn hộ,Chính chủ cần bán căn hộ chung cư The Art Gia Hòa- Quận 9,Q.9,"2,32 tỷ","55,7m²",2,2,Đ.Bắc,https://propzy.vn/mua/chinh-chu-can-ban-can-ho-chung-cu-the-art-gia-hoa-quan-9-id110981
136,Chung cư/ Căn hộ,Bán Căn Hộ Chung Cư The Park Residence Phước Kiển Đường Nguyễn Hữu Thọ Huyện Nhà Bè-Căn góc,H.Nhà Bè,"2,2 tỷ","74,0m²",2,2,--,https://propzy.vn/mua/ban-can-ho-chung-cu-the-park-residence-phuoc-kien-duong-nguyen-huu-tho-huyen-nha-be-can-goc-id110912
137,Chung cư/ Căn hộ,"Bán căn hộ Linh Tây Tower, Quận Thủ Đức. View Landmark 81",Q.Thủ Đức,"2,4 tỷ","77,5m²",2,2,Đ.Bắc,https://propzy.vn/mua/ban-can-ho-linh-tay-tower-quan-thu-duc-view-landmark-81-id110474
138,Chung cư/ Căn hộ,Căn hộ tầng 4 chung cư City Gate mặt tiền Võ Văn Kiệt phường 16 Quận 8. Mua vào ở ngay.,Q.8,"2,1 tỷ","72,0m²",2,2,--,https://propzy.vn/mua/can-ho-tang-4-chung-cu-city-gate-mat-tien-vo-van-kiet-phuong-16-quan-8-mua-vao-o-ngay-id108746
139,Chung cư/ Căn hộ,"Chung cư Phú Nhuận, để trống dọn vào ở ngay",Q.Phú Nhuận,"2,28 tỷ","48,3m²",2,2,--,https://propzy.vn/mua/chung-cu-phu-nhuan-de-trong-don-vao-o-ngay-id110273
140,Chung cư/ Căn hộ,"BÁN CĂN HỘ QUẬN 7 - Cần bán căn hộ Hưng Vượng 2, thoải mái, tiện nghi.",Q.7,"3,5 tỷ","112,8m²",2,2,--,https://propzy.vn/mua/ban-can-ho-quan-7-can-ban-can-ho-hung-vuong-2-thoai-mai-tien-nghi-id110321
141,Chung cư/ Căn hộ,Bán Căn hộ 2 phòng ngủ Chung cư Phố Đông Aparment (Chung cư Phố Đông Hoa Sen) - Quận 9.,Q.9,"1,65 tỷ","65,8m²",2,1,Đ.Nam,https://propzy.vn/mua/ban-can-ho-2-phong-ngu-chung-cu-pho-dong-aparment-chung-cu-pho-dong-hoa-sen-quan-9-id110048
142,Chung cư/ Căn hộ,"Bán căn hộ chung cư La Astoria 2 phường Bình Trưng Tây, quận 2. Giao dịch nhanh chóng, nhận nhà ngay.",Q.2,"5,45 tỷ","77,1m²",2,2,--,https://propzy.vn/mua/ban-can-ho-chung-cu-la-astoria-2-phuong-binh-trung-tay-quan-2-giao-dich-nhanh-chong-nhan-nha-ngay-id109997
143,Chung cư/ Căn hộ,"Bán căn hộ 3PN, chung cư Green Hills, P. Bình Hưng Hòa B, Bình Tân - KDC Vĩnh Lộc",Q.Bình Tân,"2,4 tỷ","86,0m²",3,2,--,https://propzy.vn/mua/ban-can-ho-3pn-chung-cu-green-hills-p-binh-hung-hoa-b-binh-tan-kdc-vinh-loc-id109973
144,Chung cư/ Căn hộ,"Bán căn hộ 2 phòng ngủ, chung cư 9 View - Quận 9",Q.9,"1,98 tỷ","58,0m²",2,2,T.Bắc,https://propzy.vn/mua/ban-can-ho-2-phong-ngu-chung-cu-9-view-quan-9-id109706
145,Chung cư/ Căn hộ,Bán Căn hộ thương mại - dịch vụ Chung cư Phố Đông Aparment (Chung cư Phố Đông Hoa Sen) - Quận 9.,Q.9,"1,78 tỷ","58,4m²",2,1,T.Bắc,https://propzy.vn/mua/ban-can-ho-thuong-mai-dich-vu-chung-cu-pho-dong-aparment-chung-cu-pho-dong-hoa-sen-quan-9-id109718
146,Chung cư/ Căn hộ,Bán căn hộ chung cư Diamond Lotus Riverside đẹp nhất Quận 8 - Mua vào ở ngay.,Q.8,"4,1 tỷ","92,0m²",3,2,Đ.Nam,https://propzy.vn/mua/ban-can-ho-chung-cu-diamond-lotus-riverside-dep-nhat-quan-8-mua-vao-o-ngay-id109425
147,Chung cư/ Căn hộ,Bán căn hộ chung cư EHome S Nam Sài Gòn đường Nguyễn Văn Linh huyện Bình Chánh,H.Bình Chánh,"1,69 tỷ","50,0m²",1,1,--,https://propzy.vn/mua/ban-can-ho-chung-cu-ehome-s-nam-sai-gon-duong-nguyen-van-linh-huyen-binh-chanh-id109712
148,Chung cư/ Căn hộ,"Bán  căn hộ chung cư Đại Thành Quận Tân Phú, đã nhận nhà, tiện vào ở ngay",Q.Tân Phú,"2,1 tỷ","82,0m²",2,2,--,https://propzy.vn/mua/ban-can-ho-chung-cu-dai-thanh-quan-tan-phu-da-nhan-nha-tien-vao-o-ngay-id109422
149,Chung cư/ Căn hộ,Căn hộ tầng 14 chung cư Carina phường 16 Quận 8  - Tặng nội thất,Q.8,"1,97 tỷ","96,5m²",2,2,--,https://propzy.vn/mua/can-ho-tang-14-chung-cu-carina-phuong-16-quan-8-tang-noi-that-id109610
150,Chung cư/ Căn hộ,Căn hộ tầng 4 chung cư C1 Ba Tơ phường 7 Quận 8,Q.8,"1,25 tỷ","65,7m²",2,1,--,https://propzy.vn/mua/can-ho-tang-4-chung-cu-c1-ba-to-phuong-7-quan-8-id108776
151,Chung cư/ Căn hộ,Bán Căn Hộ Chung Cư Ngô Quyền Lô C Tầng Trệt + Tầng Lửng  Quận 5,Q.5,"6,6 tỷ","122,6m²",2,2,Tây,https://propzy.vn/mua/ban-can-ho-chung-cu-ngo-quyen-lo-c-tang-tret-tang-lung-quan-5-id109382
152,Chung cư/ Căn hộ,Bán gấp căn shophouse - Căn hộ Sài Gòn Gateway - Quận 9,Q.9,"6,3 tỷ","82,0m²",0,1,T.Bắc,https://propzy.vn/mua/ban-gap-can-shophouse-can-ho-sai-gon-gateway-quan-9-id109139
153,Chung cư/ Căn hộ,Bán CĂN HỘ 2 phòng ngủ -  Cơ hội sở hữu căn hộ Sài Gòn Gateway - Quận 9,Q.9,"2,2 tỷ","67,2m²",2,2,Đ.Nam,https://propzy.vn/mua/ban-can-ho-2-phong-ngu-co-hoi-so-huu-can-ho-sai-gon-gateway-quan-9-id109121
154,Chung cư/ Căn hộ,"Bán căn hộ Citisoho phường Cát Lái, quận 2. Giao dịch nhanh chóng, nhận nhà ngay.",Q.2,"1,75 tỷ","55,6m²",2,2,Đ.Bắc,https://propzy.vn/mua/ban-can-ho-citisoho-phuong-cat-lai-quan-2-giao-dich-nhanh-chong-nhan-nha-ngay-id108791
155,Chung cư/ Căn hộ,"Bán căn hộ chung cư Feliz En Vista phường Thạnh Mỹ Lợi, quận 2. Hợp đồng mua bán chính chủ, sang tên ngay.",Q.2,"5,8 tỷ","90,2m²",2,2,--,https://propzy.vn/mua/ban-can-ho-chung-cu-feliz-en-vista-phuong-thanh-my-loi-quan-2-hop-dong-mua-ban-chinh-chu-sang-ten-ngay-id108863
156,Chung cư/ Căn hộ,"Bán căn hộ chung cư Feliz En Vista phường Thạnh Mỹ Lợi, quận 2. Hợp đồng mua bán chính chủ, sang tên ngay.",Q.2,"5,8 tỷ","90,2m²",2,2,--,https://propzy.vn/mua/ban-can-ho-chung-cu-feliz-en-vista-phuong-thanh-my-loi-quan-2-hop-dong-mua-ban-chinh-chu-sang-ten-ngay-id108866
157,Chung cư/ Căn hộ,Bán căn hộ chung cư Tín Phong - 12View Quận 12 - Diện tích 84.71m2,Q.12,"1,55 tỷ","84,2m²",2,2,Đ.Bắc,https://propzy.vn/mua/ban-can-ho-chung-cu-tin-phong-12view-quan-12-dien-tich-84-71m2-id108725
158,Chung cư/ Căn hộ,Bán căn hộ Celadon City Quận Tân Phú.,Q.Tân Phú,"2,85 tỷ","68,0m²",2,2,Đ.Nam,https://propzy.vn/mua/ban-can-ho-celadon-city-quan-tan-phu-id108578
159,Chung cư/ Căn hộ,"Chính chủ cần bán gấp căn hộ chung cư Ehome Đông Sài Gòn 2 - full nội thất, 2 phòng ngủ - Quận 9.",Q.9,"1,72 tỷ","66,0m²",2,2,T.Bắc,https://propzy.vn/mua/chinh-chu-can-ban-gap-can-ho-chung-cu-ehome-dong-sai-gon-2-full-noi-that-2-phong-ngu-quan-9-id108572
